id_season,season_name,country,championship_name,team_id,team_name,team_url,1st_best_player,2nd_best_player,3rd_best_player,4th_best_player,5th_best_player,formation_type,1st_player_name,1st_player_position,2nd_player_name,2nd_player_position,3rd_player_name,3rd_player_position,4th_player_name,4th_player_position,5th_player_name,5th_player_position,6th_player_name,6th_player_position,7th_player_name,7th_player_position,8th_player_name,8th_player_position,9th_player_name,9th_player_position,10th_player_name,10th_player_position,11th_player_name,11th_player_position
3,2024/25,Espagne,LaLiga,53,Athletic Club,https://fr.whoscored.com/teams/53/show/espagne-athletic-club,Nico Williams,Jesús Areso,Alex Berenguer,Íñigo Ruíz de Galarreta,Aitor Paredes,4231,U. Simón,0; 40,J. Areso,25; 0,Y. Berchiche,25; 80,Í.R. de Galarreta,50; 55,D. Vivian,25; 25,A. Paredes,25; 55,I. Williams,70; 10,M. Jauregizar,50; 25,M. Sannadi,90; 40,A. Berenguer,70; 40,N. Williams,70; 70
3,2024/25,Espagne,LaLiga,62,Celta Vigo,https://fr.whoscored.com/teams/62/show/espagne-celta-vigo,Hugo Sotelo,Hugo Álvarez,Yoel Lago,Javi Rueda,Ionut Radu,343,I. Radu,0; 40,Ó. Mingueza,55; 0,S. Carreira,55; 80,M. Fernández,25; 70,C. Domínguez,25; 40,J. Rodríguez,25; 10,H. Sotelo,55; 25,I. Moriba,55; 55,F. Jutglà,85; 40,I. Aspas,85; 15,B. Zaragoza,85; 65
3,2024/25,Espagne,LaLiga,64,Rayo Vallecano,https://fr.whoscored.com/teams/64/show/espagne-rayo-vallecano,Isi Palazón,Pathé Ciss,Jorge de Frutos,Andrei Ratiu,Jozhua Vertrouwd,442,A. Batalla,0; 40,A. Ratiu,25; 0,P. Chavarría,25; 80,U. López,60; 25,F. Lejeune,25; 25,L. Felipe,25; 55,J. de Frutos,60; 0,P. Ciss,60; 55,P. Díaz,90; 55,I. Palazón,90; 25,Á. García,60; 80
3,2024/25,Espagne,LaLiga,68,Real Sociedad,https://fr.whoscored.com/teams/68/show/espagne-real-sociedad,Ander Barrenetxea,Jon Martín,Mikel Oyarzabal,Carlos Soler,Jon Aramburu,4231,Á. Remiro,0; 40,J. Aramburu,25; 0,S. Gómez,25; 80,P. Marín,50; 55,I. Zubeldia,25; 25,D. C-Car,25; 55,T. Kubo,70; 10,B. Turrientes,50; 25,M. Oyarzabal,90; 40,B. Méndez,70; 40,A. Barrenetxea,70; 70
3,2024/25,Espagne,LaLiga,832,Levante,https://fr.whoscored.com/teams/832/show/espagne-levante,Etta Eyong,Iván Romero,Mathew Ryan,Pablo Campos,Pablo Martínez,541,P. Campos,0; 40,J. Toljan,30; 0,M. Sánchez,30; 80,J. Cabello,30; 60,U. Elgezabal,30; 40,A. de la Fuente,30; 20,C. Álvarez,60; 10,P. Martínez,60; 30,I. Romero,90; 40,O. Rey,60; 50,R. Brugué,60; 70
3,2024/25,Espagne,LaLiga,61,Real Oviedo,https://fr.whoscored.com/teams/61/show/espagne-real-oviedo,Aarón Escandell,Leander Dendoncker,Lucas Ahijado,David Costas,Dani Calvo,4231,A. Escandell,0; 40,N. Vidal,25; 0,R. Alhassane,25; 80,A. Reina,50; 55,D. Costas,25; 25,D. Calvo,25; 55,H. Hassan,70; 10,L. Dendoncker,50; 25,F. Viñas,90; 40,L. Ilic,70; 40,I. Chaira,70; 70
3,2024/25,Espagne,LaLiga,55,Valencia,https://fr.whoscored.com/teams/55/show/espagne-valencia,Mouctar Diakhaby,Pepelu,César Tárrega,Jesús Vázquez,Hugo Duro,442,J. Agirrezabala,0; 40,D. Foulquier,25; 0,J. Gayà,25; 80,J. Guerra,60; 25,C. Tárrega,25; 25,Copete,25; 55,L. Rioja,60; 0,Pepelu,60; 55,H. Duro,90; 55,D. Raba,90; 25,D. López,60; 80
3,2024/25,Espagne,LaLiga,51,Mallorca,https://fr.whoscored.com/teams/51/show/espagne-mallorca,Vedat Muriqi,Sergi Darder,Pablo Maffeo,Martin Valjent,Mateo Joseph,4231,L. Román,0; 40,M. Morey,25; 0,J. Mojica,25; 80,O. Mascarell,50; 55,M. Valjent,25; 25,A. Raíllo,25; 55,T. Asano,70; 10,A. Sánchez,50; 25,M. Joseph,90; 40,P. Torre,70; 40,S. Darder,70; 70
3,2024/25,Espagne,LaLiga,2783,Girona,https://fr.whoscored.com/teams/2783/show/espagne-girona,Vladyslav Vanat,Azzedine Ounahi,Yáser Asprilla,Viktor Tsygankov,Iván Martín,433,P. Gazzaniga,0; 40,A. Martínez,25; 0,Á. Moreno,25; 80,A. Ounahi,55; 40,V. Reis,25; 25,D. Blind,25; 55,I. Martín,55; 10,J. Roca,55; 70,V. Vanat,85; 40,V. Tsygankov,85; 10,Y. Asprilla,85; 70
4,2024/25,Angleterre,Premier League,30,Tottenham,https://fr.whoscored.com/teams/30/show/angleterre-tottenham,Mohammed Kudus,Xavi Simons,Guglielmo Vicario,Pape Matar Sarr,Richarlison,433,G. Vicario,0; 40,P. Porro,25; 0,D. Spence,25; 80,J. Palhinha,55; 40,C. Romero,25; 25,M.v. de Ven,25; 55,P.M. Sarr,55; 10,L. Bergvall,55; 70,Richarlison,85; 40,M. Kudus,85; 10,B. Johnson,85; 70
4,2024/25,Angleterre,Premier League,13,Arsenal,https://fr.whoscored.com/teams/13/show/angleterre-arsenal,Jurriën Timber,Bukayo Saka,Ben White,Viktor Gyökeres,Martín Zubimendi,433,D. Raya,0; 40,J. Timber,25; 0,R. Calafiori,25; 80,M. Zubimendi,55; 40,W. Saliba,25; 25,G. Magalhães,25; 55,M. Ødegaard,55; 10,D. Rice,55; 70,V. Gyökeres,85; 40,B. Saka,85; 10,G. Martinelli,85; 70
4,2024/25,Angleterre,Premier League,15,Chelsea,https://fr.whoscored.com/teams/15/show/angleterre-chelsea,Moisés Caicedo,Trevoh Chalobah,Josh Acheampong,João Pedro,Marc Cucurella,4231,R. Sánchez,0; 40,M. Gusto,25; 0,M. Cucurella,25; 80,M. Caicedo,50; 55,T. Chalobah,25; 25,T. Adarabioyo,25; 55,Estêvão,70; 10,E. Fernández,50; 25,L. Delap,90; 40,J. Pedro,70; 40,P. Neto,70; 70
4,2024/25,Angleterre,Premier League,167,Manchester City,https://fr.whoscored.com/teams/167/show/angleterre-manchester-city,Erling Haaland,Gianluigi Donnarumma,Phil Foden,Nico González,James Trafford,4141,G. Donnarumma,0; 40,A. Khusanov,25; 0,N. O'Reilly,25; 80,Rodri,45; 40,R. Dias,25; 25,J. Gvardiol,25; 55,B. Silva,70; 0,T. Reijnders,70; 25,E. Haaland,90; 40,P. Foden,70; 55,J. Doku,70; 80
4,2024/25,Angleterre,Premier League,26,Liverpool,https://fr.whoscored.com/teams/26/show/angleterre-liverpool,Virgil van Dijk,Cody Gakpo,Ryan Gravenberch,Hugo Ekitiké,Dominik Szoboszlai,4231,A. Becker,0; 40,D. Szoboszlai,25; 0,M. Kerkez,25; 80,A.M. Allister,50; 55,I. Konaté,25; 25,V.v. Dijk,25; 55,M. Salah,70; 10,R. Gravenberch,50; 25,H. Ekitiké,90; 40,F. Wirtz,70; 40,C. Gakpo,70; 70
4,2024/25,Angleterre,Premier League,16,Sunderland,https://fr.whoscored.com/teams/16/show/angleterre-sunderland,Dan Ballard,Nordi Mukiele,Granit Xhaka,Robin Roefs,Omar Alderete,433,R. Roefs,0; 40,T. Hume,25; 0,R. Mandava,25; 80,G. Xhaka,55; 40,D. Ballard,25; 25,O. Alderete,25; 55,H. Diarra,55; 10,N. Sadiki,55; 70,E. Mayenda,85; 40,C. Talbi,85; 10,S. Adingra,85; 70
4,2024/25,Angleterre,Premier League,31,Everton,https://fr.whoscored.com/teams/31/show/angleterre-everton,Jack Grealish,James Garner,Kiernan Dewsbury-Hall,Iliman Ndiaye,Jordan Pickford,4231,J. Pickford,0; 40,J. O'Brien,25; 0,J. Garner,25; 80,I. Gueye,50; 55,J. Tarkowski,25; 25,M. Keane,25; 55,I. Ndiaye,70; 10,T. Iroegbunam,50; 25,Beto,90; 40,K. D-Hall,70; 40,J. Grealish,70; 70
4,2024/25,Angleterre,Premier League,162,Crystal Palace,https://fr.whoscored.com/teams/162/show/angleterre-crystal-palace,Maxence Lacroix,Marc Guéhi,Daniel Muñoz,Chris Richards,Daichi Kamada,3421,D. Henderson,0; 40,D. Muñoz,50; 0,T. Mitchell,50; 80,M. Guéhi,25; 70,M. Lacroix,25; 40,C. Richards,25; 10,A. Wharton,50; 25,W. Hughes,50; 55,J-P. Mateta,90; 40,I. Sarr,75; 25,D. Kamada,75; 55
4,2024/25,Angleterre,Premier League,183,Bournemouth,https://fr.whoscored.com/teams/183/show/angleterre-bournemouth,Antoine Semenyo,Marcos Senesi,Alex Scott,Marcus Tavernier,Tyler Adams,4141,D. Petrovic,0; 40,A. Smith,25; 0,A. Truffert,25; 80,T. Adams,45; 40,B. Diakité,25; 25,M. Senesi,25; 55,A. Semenyo,70; 0,A. Scott,70; 25,Evanilson,90; 40,M. Tavernier,70; 55,D. Brooks,70; 80
4,2024/25,Angleterre,Premier League,23,Newcastle,https://fr.whoscored.com/teams/23/show/angleterre-newcastle,Nick Woltemade,Fabian Schär,Dan Burn,Nick Pope,Tino Livramento,433,N. Pope,0; 40,K. Trippier,25; 0,T. Livramento,25; 80,S. Tonali,55; 40,F. Schär,25; 25,D. Burn,25; 55,B. Guimarães,55; 10,Joelinton,55; 70,A. Gordon,85; 40,A. Elanga,85; 10,H. Barnes,85; 70
4,2024/25,Angleterre,Premier League,189,Brentford,https://fr.whoscored.com/teams/189/show/angleterre-brentford,Mikkel Damsgaard,Igor Thiago,Michael Kayode,Dango Ouattara,Nathan Collins,4231,C. Kelleher,0; 40,M. Kayode,25; 0,K. L-Potter,25; 80,J. Henderson,50; 55,N. Collins,25; 25,S.v.d. Berg,25; 55,D. Ouattara,70; 10,Y. Yarmoliuk,50; 25,I. Thiago,90; 40,M. Damsgaard,70; 40,K. Schade,70; 70
4,2024/25,Angleterre,Premier League,32,Manchester United,https://fr.whoscored.com/teams/32/show/angleterre-manchester-united,Bruno Fernandes,Matthijs de Ligt,Matheus Cunha,Mason Mount,Patrick Dorgu,3421,A. Bayindir,0; 40,A. Diallo,50; 0,P. Dorgu,50; 80,L. Shaw,25; 70,M. de Ligt,25; 40,L. Yoro,25; 10,Casemiro,50; 25,B. Fernandes,50; 55,M. Cunha,90; 40,B. Mbeumo,75; 25,M. Mount,75; 55
4,2024/25,Angleterre,Premier League,184,Burnley,https://fr.whoscored.com/teams/184/show/angleterre-burnley,Josh Cullen,Hjalmar Ekdal,Quilindschy Hartman,Jaidon Anthony,Martin Dúbravka,4231,M. Dúbravka,0; 40,K. Walker,25; 0,Q. Hartman,25; 80,J. Cullen,50; 55,H. Ekdal,25; 25,M. Estève,25; 55,J.B. Larsen,70; 10,L. Ugochukwu,50; 25,L. Foster,90; 40,H. Mejbri,70; 40,J. Anthony,70; 70
4,2024/25,Angleterre,Premier League,29,West Ham,https://fr.whoscored.com/teams/29/show/angleterre-west-ham,Lucas Paquetá,Jarrod Bowen,Crysencio Summerville,Konstantinos Mavropanos,James Ward-Prowse,3412,M. Hermansen,0; 40,A. W-Bissaka,50; 0,ElH.M. Diouf,50; 80,N. Aguerd,25; 70,M. Kilman,25; 40,J-C. Todibo,25; 10,J. W-Prowse,50; 25,G. Rodríguez,50; 55,L. Paquetá,65; 40,J. Bowen,90; 25,N. Füllkrug,90; 55
4,2024/25,Angleterre,Premier League,170,Fulham,https://fr.whoscored.com/teams/170/show/angleterre-fulham,Joachim Andersen,Bernd Leno,Kenny Tete,Ryan Sessegnon,Kevin,4231,B. Leno,0; 40,K. Tete,25; 0,R. Sessegnon,25; 80,S. Berge,50; 55,J. Andersen,25; 25,C. Bassey,25; 55,H. Wilson,70; 10,S. Lukic,50; 25,R. Muniz,90; 40,J. King,70; 40,A. Iwobi,70; 70
4,2024/25,Angleterre,Premier League,24,Aston Villa,https://fr.whoscored.com/teams/24/show/angleterre-aston-villa,Amadou Onana,Tyrone Mings,Emiliano Martínez,Matty Cash,Boubacar Kamara,4231,E. Martínez,0; 40,M. Cash,25; 0,L. Digne,25; 80,A. Onana,50; 55,E. Konsa,25; 25,T. Mings,25; 55,J. McGinn,70; 10,B. Kamara,50; 25,O. Watkins,90; 40,Y. Tielemans,70; 40,M. Rogers,70; 70
4,2024/25,Angleterre,Premier League,211,Brighton,https://fr.whoscored.com/teams/211/show/angleterre-brighton,Yankuba Minteh,Mats Wieffer,Kaoru Mitoma,Joël Veltman,Lewis Dunk,4231,B. Verbruggen,0; 40,M. Wieffer,25; 0,M. De Cuyper,25; 80,Y. Ayari,50; 55,J.P.v. Hecke,25; 25,L. Dunk,25; 55,Y. Minteh,70; 10,C. Baleba,50; 25,D. Welbeck,90; 40,M. O'Riley,70; 40,K. Mitoma,70; 70
4,2024/25,Angleterre,Premier League,174,Nottingham Forest,https://fr.whoscored.com/teams/174/show/angleterre-nottingham-forest,Elliot Anderson,Ola Aina,Chris Wood,Dan Ndoye,Callum Hudson-Odoi,4231,M. Sels,0; 40,O. Aina,25; 0,N. Williams,25; 80,E. Anderson,50; 55,N. Milenkovic,25; 25,Murillo,25; 55,D. Ndoye,70; 10,I. Sangaré,50; 25,C. Wood,90; 40,M. G-White,70; 40,C. H-Odoi,70; 70
4,2024/25,Angleterre,Premier League,19,Leeds,https://fr.whoscored.com/teams/19/show/angleterre-leeds,Karl Darlow,Joe Rodon,Gabriel Gudmundsson,Brenden Aaronson,Anton Stach,433,L. Perri,0; 40,J. Bogle,25; 0,G. Gudmundsson,25; 80,E. Ampadu,55; 40,J. Rodon,25; 25,P. Struijk,25; 55,S. Longstaff,55; 10,A. Stach,55; 70,J. Piroe,85; 40,D. James,85; 10,W. Gnonto,85; 70
4,2024/25,Angleterre,Premier League,161,Wolves,https://fr.whoscored.com/teams/161/show/angleterre-wolves,Sam Johnstone,Santiago Bueno,Hugo Bueno,Rodrigo Gomes,João Gomes,343,J. Sá,0; 40,K-J. Hoever,55; 0,D.M. Wolfe,55; 80,T. Gomes,25; 70,E. Agbadou,25; 40,M. Doherty,25; 10,André,55; 25,J. Gomes,55; 55,J.S. Larsen,85; 40,M. Munetsi,85; 15,J. Arias,85; 65
5,2024/25,Italie,Serie A,87,Juventus,https://fr.whoscored.com/teams/87/show/italie-juventus,Kenan Yildiz,Khéphren Thuram,Lloyd Kelly,Vasilije Adzic,Filip Kostic,3421,M. Di Gregorio,0; 40,P. Kalulu,50; 0,A. Cambiaso,50; 80,L. Kelly,25; 70,Bremer,25; 40,F. Gatti,25; 10,M. Locatelli,50; 25,K. Thuram,50; 55,J. David,90; 40,F. Conceição,75; 25,K. Yildiz,75; 55
5,2024/25,Italie,Serie A,80,AC Milan,https://fr.whoscored.com/teams/80/show/italie-ac-milan,Luka Modric,Alexis Saelemaekers,Adrien Rabiot,Christian Pulisic,Matteo Gabbia,3421,M. Maignan,0; 40,Y. Musah,50; 0,P. Estupiñán,50; 80,S. Pavlovic,25; 70,M. Gabbia,25; 40,F. Tomori,25; 10,Y. Fofana,50; 25,L. Modric,50; 55,S. Giménez,90; 40,R. L-Cheek,75; 25,A. Saelemaekers,75; 55
5,2024/25,Italie,Serie A,276,Napoli,https://fr.whoscored.com/teams/276/show/italie-napoli,Rasmus Højlund,Sam Beukema,Frank Anguissa,Amir Rrahmani,Matteo Politano,4141,A. Meret,0; 40,G. Di Lorenzo,25; 0,L. Spinazzola,25; 80,S. Lobotka,45; 40,A. Rrahmani,25; 25,J. Jesus,25; 55,M. Politano,70; 0,F. Anguissa,70; 25,L. Lucca,90; 40,K. De Bruyne,70; 55,S. McTominay,70; 80
5,2024/25,Italie,Serie A,300,Atalanta,https://fr.whoscored.com/teams/300/show/italie-atalanta,Nicola Zalewski,Charles De Ketelaere,Gianluca Scamacca,Mario Pasalic,Marten de Roon,3421,M. Carnesecchi,0; 40,R. Bellanova,50; 0,N. Zalewski,50; 80,B. Djimsiti,25; 70,I. Hien,25; 40,G. Scalvini,25; 10,M. de Roon,50; 25,M. Pasalic,50; 55,G. Scamacca,90; 40,C. De Ketelaere,75; 25,D. Maldini,75; 55
5,2024/25,Italie,Serie A,75,Inter,https://fr.whoscored.com/teams/75/show/italie-inter,Marcus Thuram,Hakan Çalhanoglu,Federico Dimarco,Francesco Acerbi,Alessandro Bastoni,352,Y. Sommer,0; 40,D. Dumfries,60; 0,F. Dimarco,60; 80,A. Bastoni,25; 70,F. Acerbi,25; 40,B. Pavard,25; 10,N. Barella,60; 20,H. Mkhitaryan,60; 60,L. Martínez,90; 25,M. Thuram,90; 55,H. Çalhanoglu,60; 40
5,2024/25,Italie,Serie A,84,Roma,https://fr.whoscored.com/teams/84/show/italie-roma,Matías Soulé,Evan Ndicka,Gianluca Mancini,Mile Svilar,Manu Koné,3412,M. Svilar,0; 40,Wesley,50; 0,Angeliño,50; 80,E. Ndicka,25; 70,G. Mancini,25; 40,M. Hermoso,25; 10,M. Koné,50; 25,B. Cristante,50; 55,N. El Aynaoui,65; 40,M. Soulé,90; 25,P. Dybala,90; 55
5,2024/25,Italie,Serie A,1290,Como,https://fr.whoscored.com/teams/1290/show/italie-como,Nico Paz,Jacobo Ramón,Álex Valle,Mërgim Vojvoda,Marc Oliver Kempf,4231,J. Butez,0; 40,I.V.d. Brempt,25; 0,Á. Valle,25; 80,L. da Cunha,50; 55,J. Ramón,25; 25,M.O. Kempf,25; 55,M. Vojvoda,70; 10,M. Perrone,50; 25,T. Douvikas,90; 40,N. Paz,70; 40,J. Rodríguez,70; 70
5,2024/25,Italie,Serie A,86,Udinese,https://fr.whoscored.com/teams/86/show/italie-udinese,Thomas Kristensen,Sandi Lovric,Arthur Atta,Keinan Davis,Oumar Solet,352,R. Sava,0; 40,K. Ehizibue,60; 0,J. Zemura,60; 80,O. Solet,25; 70,T. Kristensen,25; 40,N. Bertola,25; 10,J. Piotrowski,60; 20,A. Atta,60; 60,K. Davis,90; 25,I. Bravo,90; 55,J. Karlström,60; 40
5,2024/25,Italie,Serie A,2731,Cremonese,https://fr.whoscored.com/teams/2731/show/italie-cremonese,Emil Audero,Filippo Terracciano,Jeremy Sarmiento,Federico Baschirotto,Giuseppe Pezzella,352,E. Audero,0; 40,A. Zerbin,60; 0,G. Pezzella,60; 80,M. Bianchetti,25; 70,F. Baschirotto,25; 40,F. Terracciano,25; 10,M. Collocolo,60; 20,J. Vandeputte,60; 60,A. Sanabria,90; 25,F. Vázquez,90; 55,W. Bondo,60; 40
5,2024/25,Italie,Serie A,77,Lazio,https://fr.whoscored.com/teams/77/show/italie-lazio,Nicolò Rovella,Valentín Castellanos,Matteo Cancellieri,Oliver Provstgaard,Ivan Provedel,433,I. Provedel,0; 40,A. Marusic,25; 0,N. Tavares,25; 80,N. Rovella,55; 40,M. Gila,25; 25,O. Provstgaard,25; 55,M. Guendouzi,55; 10,F. D-Bashiru,55; 70,V. Castellanos,85; 40,M. Cancellieri,85; 10,M. Zaccagni,85; 70
5,2024/25,Italie,Serie A,78,Cagliari,https://fr.whoscored.com/teams/78/show/italie-cagliari,Elia Caprile,Yerry Mina,Mattia Felici,Adam Obert,Sebastiano Luperto,3511,E. Caprile,0; 40,M. Palestra,45; 0,A. Obert,45; 80,S. Luperto,20; 60,Y. Mina,20; 40,G. Zappa,20; 20,M. Adopo,45; 20,A. Deiola,45; 60,M. Folorunsho,90; 40,S. Esposito,70; 40,M. Prati,45; 40
5,2024/25,Italie,Serie A,278,Genoa,https://fr.whoscored.com/teams/278/show/italie-genoa,Patrizio Masini,Brooke Norton-Cuffy,Aarón Martín,Morten Frendrup,Leo Østigård,4231,N. Leali,0; 40,B. N-Cuffy,25; 0,A. Martín,25; 80,M. Frendrup,50; 55,L. Østigård,25; 25,J. Vásquez,25; 55,V. Carboni,70; 10,P. Masini,50; 25,L. Colombo,90; 40,N. Stanciu,70; 40,A. Grønbæk,70; 70
5,2024/25,Italie,Serie A,73,Fiorentina,https://fr.whoscored.com/teams/73/show/italie-fiorentina,Luca Ranieri,Robin Gosens,Rolando Mandragora,Dodô,David de Gea,3412,D. de Gea,0; 40,Dodô,50; 0,R. Gosens,50; 80,L. Ranieri,25; 70,M. Pongracic,25; 40,P. Comuzzo,25; 10,R. Mandragora,50; 25,S. Sohm,50; 55,A. Gudmundsson,65; 40,R. Piccoli,90; 25,M. Kean,90; 55
5,2024/25,Italie,Serie A,71,Bologna,https://fr.whoscored.com/teams/71/show/italie-bologna,Torbjørn Heggem,Riccardo Orsolini,Nikola Moro,Charalampos Lykogiannis,Lukasz Skorupski,4231,L. Skorupski,0; 40,N. Zortea,25; 0,C. Lykogiannis,25; 80,N. Moro,50; 55,N. Casale,25; 25,T. Heggem,25; 55,R. Orsolini,70; 10,R. Freuler,50; 25,S. Castro,90; 40,G. Fabbian,70; 40,N. Cambiaghi,70; 70
5,2024/25,Italie,Serie A,76,Verona,https://fr.whoscored.com/teams/76/show/italie-verona,Suat Serdar,Giovane,Unai Núñez,Martin Frese,Roberto Gagliardini,352,L. Montipò,0; 40,F. Cham,60; 0,D. Bradaric,60; 80,M. Frese,25; 70,V. Nelsson,25; 40,U. Núñez,25; 10,C. Niasse,60; 20,S. Serdar,60; 60,A. Sarr,90; 25,Giovane,90; 55,A. Bernede,60; 40
5,2024/25,Italie,Serie A,777,Pisa,https://fr.whoscored.com/teams/777/show/italie-pisa,Idrissa Touré,Adrian Semper,Simone Canestrelli,Antonio Caracciolo,Ebenezer Akinsanmiro,3421,A. Semper,0; 40,I. Touré,50; 0,S. Angori,50; 80,S. Canestrelli,25; 70,A. Caracciolo,25; 40,D. Denoon,25; 10,E. Akinsanmiro,50; 25,M. Aebischer,50; 55,H. Meister,90; 40,S. Moreo,75; 25,M. Tramoni,75; 55
5,2024/25,Italie,Serie A,2889,Sassuolo,https://fr.whoscored.com/teams/2889/show/italie-sassuolo,Tarik Muharemovic,Woyo Coulibaly,Arijanet Muric,Domenico Berardi,Andrea Pinamonti,433,A. Muric,0; 40,S. Walukiewicz,25; 0,J. Doig,25; 80,N. Matic,55; 40,J. Idzes,25; 25,T. Muharemovic,25; 55,A. Vranckx,55; 10,D. Boloca,55; 70,A. Pinamonti,85; 40,D. Berardi,85; 10,A. Laurienté,85; 70
5,2024/25,Italie,Serie A,72,Torino,https://fr.whoscored.com/teams/72/show/italie-torino,Guillermo Maripán,Franco Israel,Ardian Ismajli,Kristjan Asllani,Cesare Casadei,433,F. Israel,0; 40,M. Pedersen,25; 0,C. Biraghi,25; 80,K. Asllani,55; 40,S. Coco,25; 25,G. Maripán,25; 55,C. Casadei,55; 10,I. Ilic,55; 70,G. Simeone,85; 40,C. Ngonge,85; 10,N. Vlasic,85; 70
5,2024/25,Italie,Serie A,24341,Parma Calcio 1913,https://fr.whoscored.com/teams/24341/show/italie-parma-calcio-1913,Adrián Bernabé,Abdoulaye Ndiaye,Alessandro Circati,Patrick Cutrone,Gaetano Oristanio,3421,Z. Suzuki,0; 40,M. Løvik,50; 0,E. Valeri,50; 80,L. Valenti,25; 70,A. Circati,25; 40,E. Delprato,25; 10,A. Bernabé,50; 25,M. Keita,50; 55,M. Pellegrino,90; 40,P. Almqvist,75; 25,O. Sørensen,75; 55
5,2024/25,Italie,Serie A,79,Lecce,https://fr.whoscored.com/teams/79/show/italie-lecce,Tiago Gabriel,Wladimiro Falcone,Kialonda Gaspar,Owen Kouassi,Medon Berisha,433,W. Falcone,0; 40,D. Veiga,25; 0,A. Gallo,25; 80,Y. Ramadani,55; 40,K. Gaspar,25; 25,T. Gabriel,25; 55,L. Coulibaly,55; 10,M. Berisha,55; 70,F. Camarda,85; 40,L. Banda,85; 10,T. Morente,85; 70
